"	State",Hub Size,Airport Name,LOC_ID,FYE,Date Filed,Passenger airline landing fees,Landing Fee (from Obsolete form FAA-5100-127),Terminal arrival fees - rents - utilities,Terminal/International arrival area rental or other charge (form Obsolete form FAA-5100-127), Terminal area apron charges/tiedowns,Federal Inspection Fees,Other passenger aeronautical fees,Total Passenger Airline Aeronautical Revenue,Landing fees from cargo,Landing fees from GA and military, FBO revenue - contract or sponsor-operated,Cargo and hangar rentals,Aviation fuel tax retained for airport use,Fuel sales net profit/loss or fuel flowage fees,Security reimbursement from Federal Government,Other non-passenger aeronautical revenue,Total Non-Passenger Aeronautical Revenue,Total Aeronautical Revenue,Land and non-terminal facility leases and revenues,Terminal-food and beverage,Terminal-retail stores and duty free,Terminal-services and other,Rental cars-excludes customer facility charges,Parking and ground transportation,Hotel,Other Non-Aeronautical Revenue,Total Non-Aeronautical Revenue,Total Operating Revenue,Personnel compensation and benefits,Communications and utilities,Supplies and materials,Contractual services,Insurance claims and settlements,Other Operating Expenses,Subtotal - Operating Expenses,Depreciation,Total Operating Expenses,Operating Income,Interest Income,Interest expense,Grant receipts,Passenger Facility Charges,Capital Contributions,Special items (loss),Other Non-Operating Revenue,Total Non-Operating Revenue,Change in net assets,Net assets (deficit) at beginning of year,Net assets (deficit) at end of year,Airfield,Terminal,Parking,Roadways - Rail - Transit,Other Capital Expenditures,Total Capital Expenditures,Long Term Bonds,Loans and interim financing,Special facility bonds,Total Debt at End of Year,Restricted debt reserves,Restrictions for renewals and replacements,Restricted other,Total Restricted Assets,Unrestricted Cash and Investments,Bond proceeds,Proceeds from sale of property,Debt service (excluding coverage),Debt service (net of PFCs and offsets),Enplanements,Landed weights in pounds,Signatory landing fee rate per 1000 lbs,Annual aircraft operations,Passenger airline cost per enplanement,Full time equivalent employees at end of year,Security and law enforcement costs,ARFF costs,Repairs and maintenance,Marketing - Advertising - Promotions,
"	ND",N,GRAND FORKS INTL,GFK,12/31/22,9/14/23,281726,0,407477,0,0,0,26282,715485,0,0,46649,10531,0,784654,0,390562,1232396,1947881,99799,65479,0,18398,463436,851230,0,732367,2230709,4178590,1844258,401058,151421,726017,86074,47083,3255911,3629633,6885544,-2706954,90529,0,19701396,390956,5180066,0,0,25362947,22655993,0,0,14508953,0,0,0,8752422,23261375,0,0,0,0,0,0,0,0,22438837,0,0,1000,0,87491,100609,2.65,302124,8.18,25,14741,0,333819,184715,
"				  NV",N,ELKO MUNI-J.C. HARRIS FIELD,EKO,6/30/22,12/13/22,74282,0,110359,0,4755,0,0,189396,0,0,27083,31525,6424,11655,0,3000,79687,269083,301585,0,0,0,199317,118425,0,28589,647916,916999,482272,128862,66795,82410,8302,102203,870844,2391661,3262505,-2345506,8060,-78566,1909802,0,0,0,179361,2018657,-326849,31917314,31590463,315115,34609,0,0,0,349724,1385000,0,0,1385000,320436,0,0,320436,2233055,0,0,331491,0,0,0,0,0,0,0,0,64248,79423,3302,
"				  PA",N,UNIVERSITY PARK,UNV,6/30/22,12/14/22,554792,0,480843,0,0,0,217843,1253478,26523,152067,938972,408693,0,2584558,118205,40000,4269018,5522496,0,19148,0,59036,654148,804738,0,466475,2003545,7526041,2718486,286281,1396222,736497,187901,785936,6111323,2895072,9006395,-1480354,98257,-127607,11754251,511814,5838,0,0,12242553,10762199,58694469,69456668,11802892,197164,376674,0,1142573,13519303,0,5940707,0,5940707,0,0,0,0,7332853,0,0,1227733,0,122404,1.3587325E+8,3.92,39168,10.24,26,417368,733096,364929,90615,
"				  HI",S,LIHUE,LIH,6/30/22,2/9/23,6571050,0,5819658,0,159384,0,0,12550092,0,0,-7167,982445,252429,6000,0,490724,1724431,14274523,1037990,845348,515348,694877,2.117374E+7,2127290,0,1351825,27746418,42020941,1.161157E+7,2633579,967690,7510472,250070,5743186,28716567,6875240,35591807,6429134,1194193,-6419830,10227182,3310879,685630,0,9042137,18040191,24469325,0,0,1884993,3176890,1734,0,1390869,6454486,0,0,0,0,0,0,0,0,0,16335044,0,3192945,3175333,1552775,2341782,4.61,112752,8.08,116,5859065,5507614,3252035,0,
"				  HI",M,KAHULUI,OGG,6/30/22,2/9/23,17895866,0,15708755,0,491465,0,0,34096086,0,0,31863,1938579,687475,1000,0,265116,2924033,37020119,5118044,1733168,2992603,1100584,41066327,4543686,0,2268513,58822925,95843044,15290627,7395689,2913005,14178141,478750,14720563,54976775,42185909,97162684,-1319640,2411332,-13602611,1.957439E+7,9799177,0,0,19500950,37683238,36363598,0,0,3384500,15732279,0,97,2215289,21332165,0,0,0,0,0,0,0,0,0,30746809,0,10808532,8537424,3802624,5990392,4.61,149020,8.97,175,7294617,6018481,9794253,0,
"				  HI",N,LANAI,LNY,6/30/22,2/9/23,92681,0,44937,0,23863,0,0,161481,0,0,2233,64597,3560,0,0,128900,199290,360771,794,0,0,10999,0,0,0,27435,39228,399999,1467593,265394,73712,704217,27739,646718,3185373,2070614,5255987,-4855988,41036,-706213,1190765,0,0,0,11,525599,-4330389,0,0,8472311,105290,0,0,453510,9031111,0,0,0,0,0,0,0,0,0,2743877,0,578473,578473,49930,15791,0,0,3.23,12,350691,1007561,371901,0,
"				  WY",N,RIVERTON REGIONAL,RIW,6/30/22,10/24/22,27163,0,37139,0,0,0,0,64302,8040,0,0,0,13387,16280,27256,0,64963,129265,62711,0,0,0,0,0,0,0,62711,191976,406700,70038,65756,11400,15988,4641,574523,0,574523,-382547,0,-12368,1482921,73448,0,0,38585,1582586,1200039,0,0,62393,38302,0,0,624341,725036,0,230325,0,230325,0,0,0,0,0,0,40829,30090,0,0,0,0,0,0,0,0,0,0,0,
"				  NY",M,GREATER BUFFALO INTL,BUF,3/31/22,2/8/24,15274147,0,10640314,0,0,0,0,25914461,3063702,928349,211504,236007,0,116257,0,1451194,6007013,31921474,1533648,724109,804884,3943115,6172671,12172151,0,1766038,27116616,59038090,15139624,2535158,1804706,290495,585743,24283776,44639502,18790163,63429665,-4391575,55359,-3992567,9724530,7182578,0,0,516931,13486831,9095256,207101163,216196434,11170848,11696683,1578036,0,435382,24880949,124875189,3392056,0,128267245,26413699,0,32634140,59047839,22239397,0,0,1.76619E+7,7240733,1687448,1970683,8.38,63896,15.36,145,6466239,4508814,6758407,238205,
"				  IA",N,SIOUX GATEWAY,SUX,6/30/22,10/26/22,37675,0,339699,0,0,0,0,377374,0,0,229406,126839,0,103661,7676,0,467582,844956,560267,22112,0,862,138475,206567,0,86139,1014422,1859378,1264624,179358,100875,72418,176216,1217316,3010807,1949583,4960390,-3101012,0,-118951,7936559,137742,1339946,0,1000799,10296095,7195083,0,7195083,6486023,481935,168120,0,528556,7664634,6473834,0,0,6473834,0,0,0,0,0,638250,0,1335605,115040,30419,36558871,1.21,19251,12.41,13,0,0,512414,43637,
"				  OR",N,EASTERN OREGON REGIONAL,PDT,6/30/22,5/18/23,18096,0,36977,0,0,0,0,55073,3576,0,79541,30470,0,5487,0,1482522,1601596,1656669,192620,0,0,0,10000,0,0,68725,271345,1928014,904586,140050,688861,209207,12408,0,1955112,1223892,3179004,-1250990,28148,-52071,1775889,21775,0,12500,41422,1827663,576673,1.488124E+7,15457913,351807,391203,0,0,798377,1541387,0,3169828,0,3169828,0,0,0,0,660296,0,0,27425,5650,0,0,0,0,0,0,0,0,0,0,
"				  NC",S,WILMINGTON INTL,ILM,6/30/22,10/21/22,1281645,0,1168811,0,0,0,0,2450456,33312,80880,0,900,0,433039,120450,857892,1526473,3976929,245967,253356,0,0,1960251,4595220,0,231661,7286455,11263384,4193816,560800,758114,2622620,500564,9229,8645143,7738767,16383910,-5120526,76941,-568569,26625137,2080887,0,79188,3800041,32093625,26973099,145808618,172781717,27943516,0,0,0,1414719,29358235,0,4084405,0,4084405,0,0,6111250,6111250,46970490,0,0,2702199,0,512329,0,2.11,82957,4.78,49,1058960,352987,2404774,383003,
